"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",4.3197288513,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",4.1948571205,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",3.9564938545,"N"
"AUT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",4.0268936157,
"AUT","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",2.7096796036,"N"
"AUT","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",2.7124147415,"N"
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",8.8911857605,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",8.463218689,"B"
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",8.6586809158,
"BEL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",8.8742465973,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",6.6640615463,
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",6.6981921196,"B"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",6.8861236572,"N"
"BEL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",7.0554537773,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",6.8832011223,
"CAN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",7.0848708153,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",4.7209625244,
"CAN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",4.5164527893,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",10.550868034,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",11.101831436,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",11.827638626,
"CZE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",12.071025848,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",6.1996994019,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",6.4841032028,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",6.2745113373,
"CZE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",6.4395275116,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",3.8016815186,"N"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",4.0777130127,"B"
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",4.4211368561,
"DNK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",4.4135909081,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",6.6781358719,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",6.3798995018,
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",6.137283802,"N"
"FIN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",6.2598323822,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",4.2576365471,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",4.1793794632,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",4.2529807091,"N"
"FIN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",4.427090168,"N"
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",5.8822178841,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",5.862552166,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",5.9027237892,
"FRA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",6.037946701,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",4.1470537186,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",4.4665279388,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",4.5754489899,
"FRA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",4.5574088097,
"DEU","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",3.6556532383,
"DEU","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",3.4895853996,
"DEU","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",3.4164214134,
"DEU","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",3.3620295525,
"DEU","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",2.3114340305,
"DEU","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",2.2402825356,
"DEU","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",2.1532440186,
"DEU","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",2.0797152519,
"GRC","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",17.475065231,
"GRC","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",17.218647003,
"GRC","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",16.947505951,
"GRC","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",16.753341675,
"GRC","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",8.2756414413,"N"
"GRC","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",7.7658252716,
"GRC","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",7.6882238388,"N"
"GRC","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",7.3699250221,"N"
"HUN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",4.067691803,"N"
"HUN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",4.2845988274,
"HUN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",4.5261974335,
"HUN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",4.7837314606,
"HUN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",3.7949960232,
"HUN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",3.7949962616,"N"
"ISL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",5.8823533058,
"IRL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",4.9124565125,"N"
"IRL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",4.2537541389,"N"
"IRL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",3.9806313515,"N"
"ITA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",14.788205147,
"ITA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",13.996656418,
"ITA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",13.445189476,
"ITA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",13.189836502,
"ITA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",13.92374897,
"ITA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",12.838541985,
"ITA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",11.46761322,
"ITA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",10.946926117,
"JPN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",1.7575089931,
"JPN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",1.7509249449,
"JPN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",1.2710449696,
"JPN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",1.3122835159,
"LUX","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",6.6250209808,"N"
"LUX","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",7.5039029121,"N"
"MEX","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",11.719044685,
"MEX","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",12.091094971,
"MEX","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",13.095125198,
"MEX","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",13.182780266,
"NLD","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",9.5064554214,
"NLD","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",9.9500484467,
"NLD","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",9.9192438126,
"NLD","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",10.068527222,
"NLD","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",5.8329257965,
"NLD","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",5.7547607422,
"NLD","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",5.6617975235,
"NLD","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",5.5740709305,
"NOR","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",4.3855705261,
"NOR","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",3.7522625923,
"NOR","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",2.3556776047,
"NOR","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",2.5443174839,
"POL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",10.930537224,
"POL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",11.118247032,
"POL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",11.199855804,
"POL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",11.434209824,
"POL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",5.959271431,
"POL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",5.6803026199,"N"
"POL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",5.1616282463,"N"
"POL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",5.0969195366,"N"
"PRT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",6.07280159,
"PRT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",6.4056019783,
"PRT","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",6.7181396484,
"PRT","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",5.4013419151,
"SVK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",13.584889412,
"SVK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",14.148795128,
"SVK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",14.281037331,
"SVK","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",14.48285675,
"SVK","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",5.3027124405,"N"
"ESP","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",8.7273902893,
"ESP","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",8.0890731812,
"ESP","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",7.6606421471,
"ESP","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",7.3279304504,
"ESP","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",6.255341053,
"ESP","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",5.9512767792,
"ESP","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",5.498957634,
"ESP","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",5.1108617783,
"SWE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",4.5493507385,
"SWE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",4.5846014023,
"SWE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",4.6664390564,"B"
"SWE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",4.7108564377,
"SWE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",2.2095015049,
"SWE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",2.1563713551,
"SWE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",2.2319126129,"N"
"CHE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",4.3152494431,
"CHE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",4.5804533958,
"CHE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",4.580291748,
"CHE","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",4.6679468155,"N"
"CHE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",2.0238771439,"N"
"CHE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",1.8683735132,"N"
"CHE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",1.9587255716,"N"
"CHE","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",1.8946101665,"N"
"TUR","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",9.1620693207,
"TUR","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",9.20566082,
"TUR","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",9.4769144058,
"TUR","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",9.6006355286,
"TUR","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",4.3119301796,
"TUR","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",4.4903550148,
"TUR","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",4.7905879021,
"TUR","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",4.9203395844,
"GBR","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",9.8694095612,
"GBR","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",9.870470047,
"GBR","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",9.9094390869,
"GBR","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",9.8510036469,
"GBR","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",4.8951816559,
"GBR","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",4.725540638,
"GBR","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",4.7625460625,
"GBR","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",4.684668541,
"USA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",4.3498783112,
"USA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",4.497803688,
"USA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",4.5349402428,
"USA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",2.626554966,
"USA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",2.8224024773,
"USA","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",2.9631335735,
"EST","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",5.6226601601,"N"
"LVA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",7.1093087196,"N"
"LVA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",7.4122834206,"N"
"LVA","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",8.1126451492,"N"
"LTU","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",9.4669981003,
"LTU","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",9.0440502167,"N"
"LTU","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",8.9291162491,"N"
"LTU","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",8.9772701263,"N"
"LTU","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",7.7423753738,"N"
"LTU","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",5.1978640556,"N"
"LTU","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",5.5902237892,"N"
"SVN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",6.831258297,"N"
"SVN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",6.1205792427,"N"
"SVN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",7.1909141541,"N"
"SVN","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",7.7542662621,"N"
"SVN","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",4.5223245621,"N"
"ZAF","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",18.693080902,
"ZAF","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",14.390810966,
"ZAF","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",12.843725204,
"ZAF","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",9.6186151505,
"NZL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2016",6.0299758911,
"NZL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2017",6.2635993958,
"NZL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2018",6.3607726097,
"NZL","YOUNGSELF","20_29_MEN","PC_TOTEMP","A","2019",6.4372215271,
"NZL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2016",3.6055960655,
"NZL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2017",4.1283354759,
"NZL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2018",4.1871871948,
"NZL","YOUNGSELF","20_29_WOMEN","PC_TOTEMP","A","2019",4.386841774,
